      Self        Total        Cumul
 Count     %  Count     %  Count     %    Calls  Function
    14   0.1    104   1.0   8836  82.7        -  SB-IMPL::LIST-REMOVE-DUPLICATES*
    13   0.1     21   0.2   8958  83.9        -  (LABELS SB-IMPL::SXHASH-RECURSE :IN SXHASH)
    10   0.1    112   1.0   9166  85.8        -  (LABELS SB-IMPL::PRINT-IT :IN SB-KERNEL:OUTPUT-OBJECT)
    10   0.1     58   0.5   9186  86.0        -  (FLET SB-IMPL::REPLACE-ALL :IN GET-OUTPUT-STREAM-STRING)


      Self        Total        Cumul
 Count     %  Count     %  Count     %    Calls  Function
-------------------------------------------------------------------
   395   3.7    395   3.7    861   8.1        -  (LAMBDA (SB-PCL::.ARG0.) :IN "SYS:SRC;PCL;DLISP3.LISP")
   390   3.7    483   4.5   1251  11.7        -  SB-VM::ALLOC-TRAMP
   295   2.8    295   2.8   2188  20.5        -  SB-KERNEL:CLASSOID-TYPEP
    76   0.7     76   0.7   5512  51.6        -  SB-KERNEL:%%TYPEP
    73   0.7    175   1.6   5585  52.3        -  SB-KERNEL:%ASSOC
    66   0.6    221   2.1   6064  56.8        -  SB-KERNEL::VALUES-SPECIFIER-TYPE-R
    65   0.6     65   0.6   6129  57.4        -  SB-KERNEL:CLASSOID-CELL-TYPEP
    61   0.6     61   0.6   6252  58.5        -  (FLET "CLEANUP-FUN-70" :IN SB-THREAD::CALL-WITH-RECURSIVE-SYSTEM-LOCK)
    53   0.5    516   4.8   6587  61.7        -  SB-KERNEL:%MAP-FOR-EFFECT-ARITY-1
    40   0.4     40   0.4   7230  67.7        -  SB-KERNEL:UB64-BASH-FILL
    32   0.3     32   0.3   7588  71.1        -  SB-KERNEL:%COERCE-CALLABLE-TO-FUN
    31   0.3    107   1.0   7619  71.3        -  SB-KERNEL:FIND-CLASSOID
    31   0.3    105   1.0   7650  71.6        -  (FLET "BODY-FUN-8" :IN SB-KERNEL:%PUTHASH)
    31   0.3     31   0.3   7681  71.9        -  SB-KERNEL:%MAKE-LIST
    27   0.3    250   2.3   7882  73.8        -  SB-KERNEL::SPECIFIER-TYPE-R
    27   0.3     70   0.7   7909  74.1        -  SB-KERNEL:%MAP-TO-LIST-ARITY-1
    25   0.2     25   0.2   8011  75.0        -  SB-KERNEL:UB32-BASH-COPY
    22   0.2    128   1.2   8104  75.9        -  SB-KERNEL:CLASSOID-PROPER-NAME
    21   0.2     21   0.2   8274  77.5        -  SB-KERNEL:HAIRY-DATA-VECTOR-REF
    20   0.2     20   0.2   8354  78.2        -  (LAMBDA (SB-KERNEL::CACHE SB-KERNEL::OBJECT) :IN SB-KERNEL::CACHED-TYPEP)
    19   0.2     28   0.3   8433  79.0        -  SB-KERNEL:%FIND-POSITION
    17   0.2    264   2.5   8649  81.0        -  SB-KERNEL:SPECIFIER-TYPE
    16   0.1     26   0.2   8699  81.5        -  SB-KERNEL:STRING=*
    15   0.1     15   0.1   8807  82.5        -  SB-INT:MEMQ
    14   0.1     77   0.7   8850  82.9        -  SB-KERNEL:FIND-CLASSOID-CELL
    12   0.1     27   0.3   9019  84.5        -  SB-INT:EQUAL-BUT-NO-CAR-RECURSION
    11   0.1     16   0.1   9123  85.4        -  SB-KERNEL:%FIND-POSITION-IF
    11   0.1     11   0.1   9145  85.6        -  SB-THREAD:MAKE-MUTEX
    10   0.1     10   0.1   9266  86.8        -  SB-KERNEL:LIST-FILL
