           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
 189      6   0.1      6   0.1   5188  88.1        -  SB-KERNEL:CSUBTYPEP
 190      6   0.1      6   0.1   5194  88.2        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1. SB-INT:&MORE SB-PCL::.MORE-CONTEXT. SB-PCL::.MORE-COUNT.))
 191      6   0.1      6   0.1   5200  88.3        -  (SB-IMPL::OPTIMIZED-DATA-VECTOR-SET T)
 193      5   0.1    139   2.4   5211  88.5        -  VARJO.INTERNALS::COMPILE-NUMBER
 194      5   0.1    113   1.9   5216  88.6        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:SET-FLOW-ID (V-TYPE VARJO.INTERNALS:FLOW-IDENTIFIER))
 195      5   0.1     53   0.9   5221  88.7        -  SB-FORMAT::A-FORMAT-DIRECTIVE-INTERPRETER
 196      5   0.1     38   0.6   5226  88.8        -  SLOT-EXISTS-P
 197      5   0.1     27   0.5   5231  88.9        -  (SB-PCL::EMF INITIALIZE-INSTANCE)
 198      5   0.1     20   0.3   5236  88.9        -  (SB-PCL::FAST-METHOD TYPE->TYPE-SPEC (V-TYPE))
 199      5   0.1     20   0.3   5241  89.0        -  (FLET #:WRAPPER12 :IN VARJO.INTERNALS:MAKE-FUNCTION-SET)
 200      5   0.1     19   0.3   5246  89.1        -  SB-IMPL::EQUAL-HASH
 201      5   0.1     13   0.2   5251  89.2        -  (SB-PCL::EMF VARJO.INTERNALS:V-MAKE-VALUE)
 202      5   0.1      6   0.1   5256  89.3        -  NCONC
 203      5   0.1      6   0.1   5261  89.4        -  (LAMBDA (SB-PCL::|.P0.|))
 204      5   0.1      5   0.1   5266  89.5        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.|))
 205      5   0.1      5   0.1   5271  89.5        -  NTHCDR
 206      5   0.1      5   0.1   5276  89.6        -  SB-KERNEL:UB64-BASH-FILL
 207      5   0.1      5   0.1   5281  89.7        -  SB-KERNEL:OUTPUT-OBJECT
 208      5   0.1      5   0.1   5286  89.8        -  (FLET #:WRAPPER443 :IN VARJO.INTERNALS::BASIC-ARG-MATCHP)
 209      5   0.1      5   0.1   5291  89.9        -  ALEXANDRIA.0.DEV:CURRY
 210      5   0.1      5   0.1   5296  90.0        -  SB-INT:COMMA-P
 211      5   0.1      5   0.1   5301  90.0        -  SB-KERNEL:%MEMBER-EQ
 212      4   0.1   4791  81.4   5305  90.1        -  VARJO.INTERNALS::COMPILE-SPECIAL-FUNCTION
 213      4   0.1     91   1.5   5309  90.2        -  SB-KERNEL:%MAP
 214      4   0.1     81   1.4   5313  90.2        -  VARJO.INTERNALS::CALC-REGULAR-FUNCTION-RETURN-IDS-GIVEN-ARGS
 215      4   0.1     71   1.2   5317  90.3        -  SB-IMPL::%MAP-FOR-EFFECT
 216      4   0.1     68   1.2   5321  90.4        -  VARJO.INTERNALS:MAKE-FUNCTION-SET
 217      4   0.1     59   1.0   5325  90.5        -  VARJO.INTERNALS::%MERGE-PROGN
 218      4   0.1     50   0.8   5329  90.5        -  VARJO.INTERNALS::GEN-GLSL-STRING-FOR-SYMBOL
 219      4   0.1     44   0.7   5333  90.6        -  VARJO.UTILS:POSITIONS-IF
 220      4   0.1     22   0.4   5337  90.7        -  (SB-PCL::EMF VARJO.INTERNALS:MERGE-COMPILED)
 221      4   0.1     15   0.3   5341  90.7        -  SB-KERNEL:%MEMBER-TEST
 222      4   0.1     14   0.2   5345  90.8        -  VARJO.INTERNALS:JOIN-GLSL-CHUNKS
 223      4   0.1     13   0.2   5349  90.9        -  SB-IMPL::OUTPUT-INTEGER
 224      4   0.1     13   0.2   5353  90.9        -  VARJO.INTERNALS:COPY-AST-NODE
 225      4   0.1      8   0.1   5357  91.0        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.|))
 226      4   0.1      7   0.1   5361  91.1        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:V-VOIDP (V-TYPE))
 227      4   0.1      6   0.1   5365  91.1        -  SB-KERNEL:%RASSOC
 228      4   0.1      6   0.1   5369  91.2        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.|) :IN "/home/baggers/.cache/common-lisp/sbcl-1.3.14-linux-x64/home/baggers/quicklisp/local-projects/the-works/varjo/src/vari.glsl/functions.fasl")
 229      4   0.1      5   0.1   5373  91.3        -  (SB-IMPL::OPTIMIZED-DATA-VECTOR-REF T)
 230      4   0.1      4   0.1   5377  91.3        -  TRUNCATE
 231      4   0.1      4   0.1   5381  91.4        -  SB-VM::FILL-VECTOR/T
 232      4   0.1      4   0.1   5385  91.5        -  SB-IMPL::STRING-OUTPUT-STREAM-NEW-BUFFER
 233      4   0.1      4   0.1   5389  91.5        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.| SB-PCL::|.P2.| SB-PCL::|.P3.|))
 234      4   0.1      4   0.1   5393  91.6        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1. SB-PCL::.ARG2.))
 235      4   0.1      4   0.1   5397  91.7        -  REMOVE-DUPLICATES
 236      4   0.1      4   0.1   5401  91.7        -  (LAMBDA (SB-PCL::|.P0.|) :IN "/home/baggers/.cache/common-lisp/sbcl-1.3.14-linux-x64/home/baggers/quicklisp/local-projects/the-works/varjo/src/vari.glsl/functions.fasl")
 237      4   0.1      4   0.1   5405  91.8        -  ACONS
 238      4   0.1      4   0.1   5409  91.9        -  SB-IMPL::ALLOCATE-VECTOR-WITH-WIDETAG
 239      4   0.1      4   0.1   5413  91.9        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS::GET-GLOBAL-COMPILER-MACRO (T))
 240      4   0.1      4   0.1   5417  92.0        -  SB-KERNEL:%ASSOC-EQ
 241      4   0.1      4   0.1   5421  92.1        -  (LABELS ALEXANDRIA.0.DEV::TRAVERSE :IN ALEXANDRIA.0.DEV:FLATTEN)
 242      3   0.1   2748  46.7   5424  92.1        -  VARJO.INTERNALS:COMPILE-FORMS-NOT-PROPAGATING-ENV-RETURNING-LIST-OF-COMPILED
 243      3   0.1    226   3.8   5427  92.2        -  (LABELS SB-IMPL::HANDLE-IT :IN SB-KERNEL:OUTPUT-OBJECT)
 244      3   0.1    178   3.0   5430  92.2        -  (LABELS VARJO.INTERNALS::ADD-VARS :IN VARJO.INTERNALS::ADD-GLSL-VARS)
 245      3   0.1     55   0.9   5433  92.3        -  VARJO.INTERNALS::FIND-COMPILER-MACRO-FOR-FUNC
 246      3   0.1     48   0.8   5436  92.3        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS::GET-EXTERNAL-FUNCTION-BY-NAME (T T))
 247      3   0.1     47   0.8   5439  92.4        -  VARJO.INTERNALS::CAST-STRING
 248      3   0.1     45   0.8   5442  92.4        -  VARJO.INTERNALS::%ADD-LISP-NAME
 249      3   0.1     36   0.6   5445  92.5        -  (FLET #:WRAPPER19 :IN VARJO.INTERNALS:MAKE-FUNCTION-SET)
 250      3   0.1     35   0.6   5448  92.5        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:CURRENT-LINE (T))
 251      3   0.1     32   0.5   5451  92.6        -  VARJO.INTERNALS::GET-VERSION-FROM-CONTEXT
 252      3   0.1     29   0.5   5454  92.6        -  (LAMBDA (VARJO.INTERNALS::_) :IN VARJO.INTERNALS::GET-FORM-BINDING)
