           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
  71     20   0.3     89   1.5   3939  66.9        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.| SB-PCL::|.P2.| SB-PCL::|.P3.| SB-PCL::|.P4.|))
  72     20   0.3     24   0.4   3959  67.2        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:PRIMARY-TYPE (VARJO.INTERNALS:COMPILED))
  73     20   0.3     20   0.3   3979  67.6        -  ELT
  74     20   0.3     20   0.3   3999  67.9        -  SB-PCL::GET-CTOR
  75     19   0.3     83   1.4   4018  68.3        -  (SB-PCL::FAST-METHOD V-SPECIAL-FUNCTIONP (VARJO.INTERNALS:V-FUNCTION))
  76     19   0.3     19   0.3   4037  68.6        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1.) :IN "/home/baggers/.slime/fasl/2.20/sbcl-1.3.14-linux-x86-64/sbcl.fasl")
  77     18   0.3    104   1.8   4055  68.9        -  ALEXANDRIA.0.DEV:MAPPEND
  78     18   0.3     20   0.3   4073  69.2        -  SB-KERNEL:STRING=*
  79     18   0.3     18   0.3   4091  69.5        -  SB-KERNEL:%COERCE-CALLABLE-TO-FUN
  80     18   0.3     18   0.3   4109  69.8        -  KEYWORDP
  81     18   0.3     18   0.3   4127  70.1        -  (LAMBDA (SB-PCL::.ARG0.) :IN "/home/baggers/.cache/common-lisp/sbcl-1.3.14-linux-x64/home/baggers/quicklisp/local-projects/the-works/varjo/tests/name-shadowing.fasl")
  82     17   0.3   4807  81.7   4144  70.4        -  (SB-PCL::FAST-METHOD COMPILE-FORM (T T))
  83     17   0.3    185   3.1   4161  70.7        -  TYPEP
  84     17   0.3    159   2.7   4178  71.0        -  SB-KERNEL::SPECIFIER-TYPE-R
  85     17   0.3     73   1.2   4195  71.3        -  RESOLVE-NAME-FROM-ALTERNATIVE
  86     17   0.3     38   0.6   4212  71.5        -  (LAMBDA (SB-PCL::|.P0.|) :IN "/home/baggers/quicklisp/local-projects/the-works/varjo/src/vari.cl/misc.lisp")
  87     16   0.3     62   1.1   4228  71.8        -  (SB-PCL::FAST-METHOD FLOW-IDS (VARJO.INTERNALS::AST-NODE))
  88     16   0.3     47   0.8   4244  72.1        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:PRIMARY-TYPE (VECTOR))
  89     16   0.3     16   0.3   4260  72.4        -  SB-KERNEL:%MAKE-LIST
  90     16   0.3     16   0.3   4276  72.6        -  (LAMBDA (SB-PCL::.ARG0. SB-INT:&MORE SB-PCL::.DFUN-MORE-CONTEXT. SB-PCL::.DFUN-MORE-COUNT.) :IN "/home/baggers/.cache/common-lisp/sbcl-1.3.14-linux-x64/home/baggers/quicklisp/local-projects/the-works/varjo/src/varjo.internals/deftype.fasl")
  91     16   0.3     16   0.3   4292  72.9        -  "foreign function syscall"
  92     15   0.3    135   2.3   4307  73.2        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS::POST-INITIALISE (V-CONTAINER))
  93     15   0.3    120   2.0   4322  73.4        -  (LAMBDA (SB-PCL::|.P0.|))
  94     15   0.3     15   0.3   4337  73.7        -  (LAMBDA (SB-KERNEL::CACHE SB-KERNEL::OBJECT) :IN SB-KERNEL::CACHED-TYPEP)
  95     14   0.2     92   1.6   4351  73.9        -  SB-KERNEL:FIND-CLASSOID-CELL
  96     14   0.2     34   0.6   4365  74.1        -  (FLET #:BODY-FUN-694 :IN SB-KERNEL:%PUTHASH)
  97     14   0.2     22   0.4   4379  74.4        -  SB-KERNEL:%MAP-TO-LIST-ARITY-1
  98     14   0.2     14   0.2   4393  74.6        -  COPY-LIST
  99     14   0.2     14   0.2   4407  74.9        -  (SB-PCL::FAST-METHOD SB-SEQUENCE:EMPTYP (VECTOR))
 100     13   0.2    519   8.8   4420  75.1        -  (SB-PCL::FAST-METHOD TYPE-SPEC->TYPE (T))
 101     13   0.2     81   1.4   4433  75.3        -  SB-IMPL::%WRITE-STRING
 102     13   0.2     77   1.3   4446  75.5        -  SB-FORMAT::INTERPRET-DIRECTIVE-LIST
 103     13   0.2     48   0.8   4459  75.7        -  VARJO.INTERNALS::ADD-GLSL-FUNCS
 104     13   0.2     45   0.8   4472  76.0        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:COPY-COMPILED (VARJO.INTERNALS:COMPILED))
 105     13   0.2     45   0.8   4485  76.2        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.| SB-PCL::|.P2.| SB-PCL::|.P3.| SB-PCL::|.P4.| SB-PCL::|.P5.| SB-PCL::|.P6.| SB-PCL::|.P7.|))
 106     13   0.2     20   0.3   4498  76.4        -  SB-PCL::FIND-CTOR
 107     13   0.2     13   0.2   4511  76.6        -  (SB-PCL::FAST-METHOD INITIALIZE-INSTANCE :AFTER (V-TYPE))
 108     13   0.2     13   0.2   4524  76.8        -  (FLET #:CLEANUP-FUN-450 :IN SB-THREAD::CALL-WITH-RECURSIVE-SYSTEM-LOCK/WITHOUT-GCING)
 109     12   0.2     25   0.4   4536  77.1        -  REMOVE-IF
 110     12   0.2     21   0.4   4548  77.3        -  VARJO.INTERNALS::EXPAND-KEYWORD-TYPE-SPEC-SHORTHAND
 111     12   0.2     12   0.2   4560  77.5        -  SB-KERNEL:%SXHASH-SIMPLE-STRING
 112     11   0.2    166   2.8   4571  77.6        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:COMPILE-LITERAL (T T))
 113     11   0.2     34   0.6   4582  77.8        -  SXHASH
 114     11   0.2     18   0.3   4593  78.0        -  (SB-PCL::FAST-METHOD INITIALIZE-INSTANCE :AFTER (VARJO.INTERNALS::ENVIRONMENT))
 115     11   0.2     11   0.2   4604  78.2        -  SB-IMPL::APPEND2
 116     11   0.2     11   0.2   4615  78.4        -  SB-THREAD:MAKE-MUTEX
 117     10   0.2   4793  81.4   4625  78.6        -  VARJO.INTERNALS::COMPILE-FUNCTION-CALL
 118     10   0.2    137   2.3   4635  78.7        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS::COPY-TYPE (V-TYPE))
 119     10   0.2    130   2.2   4645  78.9        -  VARJO.INTERNALS::TRY-TYPE-SPEC->TYPE
 120     10   0.2     92   1.6   4655  79.1        -  (LABELS SB-IMPL::PRINT-IT :IN SB-KERNEL:OUTPUT-OBJECT)
 121     10   0.2     67   1.1   4665  79.2        -  MAKE-TYPE-SET
 122     10   0.2     24   0.4   4675  79.4        -  (LAMBDA (SB-PCL::|.P0.|) :IN "/home/baggers/quicklisp/local-projects/the-works/varjo/src/vari.glsl/functions.lisp")
 123     10   0.2     24   0.4   4685  79.6        -  INTERSECTION
 124     10   0.2     22   0.4   4695  79.8        -  SB-INT:EQUAL-BUT-NO-CAR-RECURSION
 125     10   0.2     14   0.2   4705  79.9        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.| SB-PCL::|.P2.| SB-PCL::|.P3.| SB-PCL::|.P4.| SB-PCL::|.P5.| SB-PCL::|.P6.| SB-PCL::|.P7.| SB-PCL::|.P8.| SB-PCL::|.P9.| SB-PCL::|.P10.|))
 126     10   0.2     10   0.2   4715  80.1        -  "PPRINT-ARRAY-P"
 127     10   0.2     10   0.2   4725  80.3        -  VARJO.INTERNALS::TYPE-NAME-KNOWN
 128     10   0.2     10   0.2   4735  80.4        -  ALEXANDRIA.0.DEV:HASH-TABLE-KEYS
 129     10   0.2     10   0.2   4745  80.6        -  SB-C::CHECK-DS-LIST
 131     10   0.2     10   0.2   4765  80.9        -  SB-IMPL::LIST-NREVERSE
 132      9   0.2     74   1.3   4774  81.1        -  VARJO.INTERNALS::INFER-META
 133      9   0.2     73   1.2   4783  81.2        -  (LABELS VARJO.INTERNALS::ENSURE-ENV :IN COMPILE-FORM)
 134      9   0.2     36   0.6   4792  81.4        -  (FLET SB-IMPL::REPLACE-ALL :IN GET-OUTPUT-STREAM-STRING)
 135      9   0.2     16   0.3   4801  81.6        -  VARJO.INTERNALS:AST-NODE!
 136      9   0.2      9   0.2   4810  81.7        -  (LAMBDA (&REST ALEXANDRIA.0.DEV::MORE) :IN ALEXANDRIA.0.DEV:CURRY)
 137      9   0.2      9   0.2   4819  81.9        -  APPEND
 138      9   0.2      9   0.2   4828  82.0        -  SB-PCL::VALID-WRAPPER-OF
