Profiler sample vector full (4286 traces / 500000 samples), doubling the size
Profiler sample vector full (8601 traces / 1000000 samples), doubling the size

Number of samples:   10679
Sample interval:     0.001 seconds
Total sampling time: 10.679001 seconds
Number of cycles:    0
Sampled threads:
 #<SB-THREAD:THREAD "control-thread" waiting on: #<WAITQUEUE  {1001E08243}> {1001E02833}>
 #<SB-THREAD:THREAD "auto-flush-thread" RUNNING {10029EFDA3}>
 #<SB-THREAD:THREAD "swank-indentation-cache-thread" waiting on: #<WAITQUEUE  {1001E100E3}> {1001E08143}>
 #<SB-THREAD:THREAD "reader-thread" RUNNING {1001E08023}>
 #<SB-THREAD:THREAD "Swank Sentinel" waiting on: #<WAITQUEUE  {1005000003}> {1004FFC713}>
 #<SB-THREAD:THREAD "main thread" RUNNING {10005E8293}>
 #<SB-THREAD:THREAD "repl-thread" RUNNING {10029F0003}>

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
  46     54   0.5     54   0.5   6534  61.2        -  (LAMBDA (SB-PCL::.PV. SB-PCL::.NEXT-METHOD-CALL. SB-KERNEL:INSTANCE) :IN SB-PCL::MAKE-STD-READER-METHOD-FUNCTION)
  47     53   0.5    516   4.8   6587  61.7        -  SB-KERNEL:%MAP-FOR-EFFECT-ARITY-1
  48     52   0.5     63   0.6   6639  62.2        -  SB-IMPL::%MAKE-HASH-TABLE
  49     52   0.5     61   0.6   6691  62.7        -  (LAMBDA (SB-PCL::METHOD-ARGS SB-PCL::NEXT-METHODS) :IN SB-PCL::METHOD-FUNCTION-FROM-FAST-FUNCTION)
  50     51   0.5    295   2.8   6742  63.1        -  ALEXANDRIA.0.DEV:MAPPEND
  51     51   0.5     76   0.7   6793  63.6        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.| SB-PCL::|.P2.| SB-PCL::|.P3.| SB-PCL::|.P4.| SB-PCL::|.P5.| SB-PCL::|.P6.| SB-PCL::|.P7.|))
  52     51   0.5     51   0.5   6844  64.1        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1.) :IN "SYS:SRC;PCL;BRAID.LISP")
  53     46   0.4     46   0.4   6890  64.5        -  SB-PCL::FIND-SLOT-CELL
  54     45   0.4     61   0.6   6935  64.9        -  (LAMBDA (SB-PCL::|.P0.|) :IN "/Users/Baggers/quicklisp/local-projects/the-works/varjo/src/vari.cl/misc.lisp")
  55     44   0.4     44   0.4   6979  65.4        -  KEYWORDP
  56     43   0.4    337   3.2   7022  65.8        -  SB-IMPL::GETHASH3
  57     43   0.4     43   0.4   7065  66.2        -  SB-PCL::GET-CTOR
  58     42   0.4   1712  16.0   7107  66.6        -  (SB-PCL::FAST-METHOD V-CASTS-TO (V-TYPE V-TYPE))
  59     42   0.4     42   0.4   7149  66.9        -  (LAMBDA (SB-PCL::.ARG0.) :IN "SYS:SRC;PCL;BRAID.LISP")
  60     41   0.4    169   1.6   7190  67.3        -  TYPE-OF
  61     40   0.4     40   0.4   7230  67.7        -  SB-KERNEL:UB64-BASH-FILL
  62     39   0.4    342   3.2   7269  68.1        -  PRINC
  63     39   0.4     55   0.5   7308  68.4        -  SB-PCL::CHECK-APPLICABLE-KEYWORDS
  64     38   0.4    151   1.4   7346  68.8        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:COPY-COMPILED (VARJO.INTERNALS:COMPILED))
  65     38   0.4     38   0.4   7384  69.1        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1.) :IN "SYS:SRC;PCL;DLISP3.LISP")
  66     37   0.3    623   5.8   7421  69.5        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS::GET-FORM-BINDING (T VARJO.INTERNALS::ENVIRONMENT))
  67     37   0.3    375   3.5   7458  69.8        -  REDUCE
  68     34   0.3     35   0.3   7492  70.2        -  (LAMBDA (SB-IMPL::BUFFER SB-IMPL::FROM) :IN GET-OUTPUT-STREAM-STRING)
  69     32   0.3     86   0.8   7524  70.5        -  RESOLVE-NAME-FROM-ALTERNATIVE
  70     32   0.3     45   0.4   7556  70.8        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.|))
  71     32   0.3     32   0.3   7588  71.1        -  SB-KERNEL:%COERCE-CALLABLE-TO-FUN
  72     31   0.3    107   1.0   7619  71.3        -  SB-KERNEL:FIND-CLASSOID
  73     31   0.3    105   1.0   7650  71.6        -  (FLET "BODY-FUN-8" :IN SB-KERNEL:%PUTHASH)
  74     31   0.3     31   0.3   7681  71.9        -  SB-KERNEL:%MAKE-LIST
  75     31   0.3     31   0.3   7712  72.2        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1.) :IN "SYS:SRC;PCL;DLISP3.LISP")
  76     30   0.3     30   0.3   7742  72.5        -  ELT
  77     29   0.3    149   1.4   7771  72.8        -  VARJO.INTERNALS::%FUNC-NAME-FROM-SET
  78     28   0.3     53   0.5   7799  73.0        -  FIND-IF
  79     28   0.3     38   0.4   7827  73.3        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:PRIMARY-TYPE (VARJO.INTERNALS:COMPILED))
  80     28   0.3     28   0.3   7855  73.6        -  (LAMBDA (SB-PCL::.ARG0. SB-INT:&MORE SB-PCL::.DFUN-MORE-CONTEXT. SB-PCL::.DFUN-MORE-COUNT.) :IN "/Users/Baggers/.cache/common-lisp/sbcl-1.4.4-macosx-x64/Users/Baggers/quicklisp/local-projects/the-works/varjo/src/varjo.internals/code-object.fasl")
  81     27   0.3    250   2.3   7882  73.8        -  SB-KERNEL::SPECIFIER-TYPE-R
  82     27   0.3     70   0.7   7909  74.1        -  SB-KERNEL:%MAP-TO-LIST-ARITY-1
  83     27   0.3     27   0.3   7936  74.3        -  (LAMBDA (SB-PCL::.ARG0.) :IN "/Users/Baggers/.cache/common-lisp/sbcl-1.4.4-macosx-x64/Users/Baggers/quicklisp/local-projects/the-works/varjo/tests/name-shadowing.fasl")
  84     25   0.2     81   0.8   7961  74.5        -  SLOT-EXISTS-P
  85     25   0.2     29   0.3   7986  74.8        -  SB-IMPL::EQL-HASH
  86     25   0.2     25   0.2   8011  75.0        -  SB-KERNEL:UB32-BASH-COPY
  87     24   0.2     28   0.3   8035  75.2        -  SB-PCL::FIND-CTOR
  88     24   0.2     26   0.2   8059  75.5        -  REMOVE-IF
  89     23   0.2    187   1.8   8082  75.7        -  (SB-PCL::FAST-METHOD V-TYPEP (V-TYPE V-TYPE))
  90     22   0.2    128   1.2   8104  75.9        -  SB-KERNEL:CLASSOID-PROPER-NAME
  91     22   0.2     57   0.5   8126  76.1        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:PRIMARY-TYPE (VECTOR))
  92     22   0.2     22   0.2   8148  76.3        -  VECTOR
  93     21   0.2   6303  59.0   8169  76.5        -  VARJO.INTERNALS::FIND-FUNCTION-IN-SET-FOR-ARGS
  94     21   0.2    552   5.2   8190  76.7        -  VARJO.INTERNALS::TRY-TYPE-SPEC->TYPE
  95     21   0.2    163   1.5   8211  76.9        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:MERGE-COMPILED (LIST))
  96     21   0.2    143   1.3   8232  77.1        -  MAKE-TYPE-SET
  97     21   0.2     51   0.5   8253  77.3        -  FIND
  98     21   0.2     21   0.2   8274  77.5        -  SB-KERNEL:HAIRY-DATA-VECTOR-REF
  99     20   0.2    160   1.5   8294  77.7        -  VARJO.INTERNALS::EXPAND-ARGUMENT-SPEC
 100     20   0.2    133   1.2   8314  77.9        -  SB-IMPL::%MAP-FOR-EFFECT
 101     20   0.2    123   1.2   8334  78.0        -  SB-IMPL::%WRITE-STRING
