           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
  52      4   0.0      4   0.0  17570  98.8        -  (SB-PCL::FAST-METHOD INITIALIZE-INSTANCE :AFTER (VARJO.INTERNALS::ENVIRONMENT))
  53      4   0.0      4   0.0  17574  98.8        -  SB-IMPL::%MAKE-STRING-OUTPUT-STREAM
  54      4   0.0      4   0.0  17578  98.8        -  (LAMBDA (SB-PCL::.ARG0.) :IN "/home/christophe/src/sbcl-release-dir-20170122-8YAWYbEiA/sbcl-1.3.14/src/pcl/braid.fasl")
  55      4   0.0      4   0.0  17582  98.9        -  REMOVE
  56      3   0.0     90   0.5  17585  98.9        -  VARJO.INTERNALS::FIND-FUNCTION-IN-SET-FOR-ARGS
  57      3   0.0     16   0.1  17588  98.9        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS::GET-EXTERNAL-FUNCTION-BY-NAME (T T))
  58      3   0.0     14   0.1  17591  98.9        -  VARJO.INTERNALS:MAKE-TYPE-SET*
  59      3   0.0     13   0.1  17594  98.9        -  ALEXANDRIA.0.DEV:MAPPEND
  60      3   0.0      8   0.0  17597  98.9        -  SB-KERNEL:SPECIFIER-TYPE
  61      3   0.0      5   0.0  17600  99.0        -  SB-IMPL::STRING-SOUT
  62      3   0.0      3   0.0  17603  99.0        -  (LAMBDA (SB-PCL::|.P0.|))
  63      3   0.0      3   0.0  17606  99.0        -  (LAMBDA (SB-PCL::.ARG0.) :IN "/home/christophe/src/sbcl-release-dir-20170122-8YAWYbEiA/sbcl-1.3.14/src/pcl/braid.fasl")
  64      3   0.0      3   0.0  17609  99.0        -  SB-PCL::GET-CTOR
  65      3   0.0      3   0.0  17612  99.0        -  NTHCDR
  66      3   0.0      3   0.0  17615  99.0        -  VARJO.INTERNALS::%MAKE-GLSL-LINE
  67      3   0.0      3   0.0  17618  99.1        -  SB-IMPL::%OUTPUT-INTEGER-IN-BASE
  68      3   0.0      3   0.0  17621  99.1        -  REVERSE
  69      3   0.0      3   0.0  17624  99.1        -  REMOVE-DUPLICATES
  70      3   0.0      3   0.0  17627  99.1        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1.) :IN "/home/christophe/src/sbcl-release-dir-20170122-8YAWYbEiA/sbcl-1.3.14/src/pcl/braid.fasl")
  71      3   0.0      3   0.0  17630  99.1        -  (LAMBDA (SB-KERNEL:INSTANCE) :IN SB-PCL::MAKE-OPTIMIZED-STD-READER-METHOD-FUNCTION)
  72      3   0.0      3   0.0  17633  99.1        -  VARJO.INTERNALS::MULTI-RETURN-FUNCTION-P
  73      2   0.0  17770  99.9  17635  99.2        -  VARJO.INTERNALS::MAKE-REGULAR-FUNCTION
  74      2   0.0  17768  99.9  17637  99.2        -  VARJO.INTERNALS::COMPILE-SPECIAL-FUNCTION
  75      2   0.0  17768  99.9  17639  99.2        -  VARJO.INTERNALS::COMPILE-FUNCTION-CALL
  76      2   0.0  17768  99.9  17641  99.2        -  VARI.CL::VS-PROGN
  77      2   0.0  15559  87.5  17643  99.2        -  VARI.CL::GEN-CASE-USING-SWITCH
  78      2   0.0    968   5.4  17645  99.2        -  REDUCE
  79      2   0.0     26   0.1  17647  99.2        -  SB-IMPL::%MAP-FOR-EFFECT
  80      2   0.0     12   0.1  17649  99.2        -  SB-FORMAT::INTERPRET-DIRECTIVE-LIST
  81      2   0.0      9   0.1  17651  99.2        -  (FLET #:WRAPPER748 :IN VARJO.INTERNALS::FIND-FUNCTIONS-IN-SET-FOR-ARGS)
  82      2   0.0      7   0.0  17653  99.3        -  SB-PCL::ENSURE-CACHED-CTOR
  83      2   0.0      7   0.0  17655  99.3        -  GET-OUTPUT-STREAM-STRING
  84      2   0.0      6   0.0  17657  99.3        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS::FUNC-NEED-ARGUMENTS-COMPILEDP (VARJO.INTERNALS:V-FUNCTION))
  85      2   0.0      5   0.0  17659  99.3        -  VARJO.INTERNALS::MATCH-FUNCTION-TO-ARGS
  86      2   0.0      3   0.0  17661  99.3        -  SB-IMPL::%MAKE-HASH-TABLE
  87      2   0.0      3   0.0  17663  99.3        -  VARJO.INTERNALS::%MERGE-FORM-BINDINGS
  88      2   0.0      2   0.0  17665  99.3        -  (LAMBDA (SB-PCL::.ARG0.) :IN "/home/baggers/.cache/common-lisp/sbcl-1.3.14-linux-x64/home/baggers/quicklisp/local-projects/the-works/varjo/tests/name-shadowing.fasl")
