Number of samples:   3372
Sample interval:     0.01 seconds
Total sampling time: 33.719997 seconds
Number of cycles:    0
Sampled threads:
 #<SB-THREAD:THREAD "auto-flush-thread" RUNNING {10030F7DA3}>
 #<SB-THREAD:THREAD "repl-thread" RUNNING {10030F7FA3}>

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
  45      2   0.1      2   0.1   3142  93.2        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1.) :IN "/home/christophe/src/sbcl-release-dir-20170530-aobhhg1yU/sbcl-1.3.18/src/pcl/dlisp3.fasl")
  46      2   0.1      2   0.1   3144  93.2        -  (LAMBDA (SB-PCL::METHOD-ARGS SB-PCL::NEXT-METHODS) :IN SB-PCL::METHOD-FUNCTION-FROM-FAST-FUNCTION)
  47      2   0.1      2   0.1   3146  93.3        -  STRING
  48      2   0.1      2   0.1   3148  93.4        -  SB-PCL::%MAKE-STANDARD-INSTANCE
  49      2   0.1      2   0.1   3150  93.4        -  "PPRINT-DATA-LIST-P"
  50      2   0.1      2   0.1   3152  93.5        -  VARJO.INTERNALS::MERGE-RETURN-SETS
  51      2   0.1      2   0.1   3154  93.5        -  SB-KERNEL:%MAKE-LIST
  52      2   0.1      2   0.1   3156  93.6        -  LENGTH
  53      2   0.1      2   0.1   3158  93.7        -  SB-KERNEL:UB32-BASH-COPY
  54      2   0.1      2   0.1   3160  93.7        -  REPLACE
  55      2   0.1      2   0.1   3162  93.8        -  SB-VM::UNDEFINED-TRAMP
  56      1   0.0   3366  99.8   3163  93.8        -  VARJO.INTERNALS::COMPILE-SPECIAL-FUNCTION
  57      1   0.0   3366  99.8   3164  93.8        -  VARJO.INTERNALS::COMPILE-CALL-WITH-SINGLE-FUNCTION
  58      1   0.0   3366  99.8   3165  93.9        -  (SB-PCL::FAST-METHOD COMPILE-FORM (T T))
  59      1   0.0   3366  99.8   3166  93.9        -  VARI.CL::VS-PROGN
  60      1   0.0     29   0.9   3167  93.9        -  VARJO.INTERNALS::TRY-COMPILE-ARGS
  61      1   0.0     28   0.8   3168  94.0        -  VARJO.INTERNALS:TRY-COMPILE-ARG
  62      1   0.0     16   0.5   3169  94.0        -  (LABELS SB-IMPL::HANDLE-IT :IN SB-KERNEL:OUTPUT-OBJECT)
  63      1   0.0     15   0.4   3170  94.0        -  SB-FORMAT::%FORMAT
  64      1   0.0     13   0.4   3171  94.0        -  VARJO.INTERNALS:LISP-NAME->GLSL-NAME
  65      1   0.0      9   0.3   3172  94.1        -  VARJO.INTERNALS::%GET-FREE-GLSL-NAME
  66      1   0.0      7   0.2   3173  94.1        -  SB-FORMAT::INTERPRET-DIRECTIVE-LIST
  67      1   0.0      7   0.2   3174  94.1        -  VARI.CL::COMPILE-GLSL-EXPRESSION-STRING
  68      1   0.0      6   0.2   3175  94.2        -  SB-FORMAT::A-FORMAT-DIRECTIVE-INTERPRETER
  69      1   0.0      5   0.1   3176  94.2        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS::GET-EXTERNAL-FUNCTION-BY-NAME (T T))
  70      1   0.0      4   0.1   3177  94.2        -  VARJO.INTERNALS::GET-VERSION-FROM-CONTEXT
  71      1   0.0      4   0.1   3178  94.2        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.| SB-PCL::|.P2.| SB-PCL::|.P4.| SB-PCL::|.P5.| SB-PCL::|.P6.| SB-PCL::|.P7.| SB-PCL::|.P8.| SB-PCL::|.P9.| SB-PCL::|.P10.|))
  72      1   0.0      4   0.1   3179  94.3        -  VARJO.INTERNALS:MAKE-COMPILED
  73      1   0.0      4   0.1   3180  94.3        -  VARJO.INTERNALS:MAKE-FUNCTION-SET
  74      1   0.0      3   0.1   3181  94.3        -  VARJO.INTERNALS::MAKE-USER-FUNCTION-OBJ
  75      1   0.0      3   0.1   3182  94.4        -  SB-IMPL::%WRITE-STRING
  76      1   0.0      2   0.1   3183  94.4        -  (LAMBDA (VARJO.INTERNALS::_) :IN VARJO.INTERNALS:V-RETURNED-P)
  77      1   0.0      2   0.1   3184  94.4        -  (LAMBDA (SB-PCL::|.P0.|))
  78      1   0.0      2   0.1   3185  94.5        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS::GET-TYPE-DISTANCE (V-TYPE V-TYPE))
  79      1   0.0      2   0.1   3186  94.5        -  VARJO.INTERNALS::FLOW-ID+META!
  80      1   0.0      1   0.0   3187  94.5        -  VARJO.INTERNALS:JOIN-GLSL-CHUNKS
  81      1   0.0      1   0.0   3188  94.5        -  (SB-PCL::FAST-METHOD FLOW-IDS (VARJO.INTERNALS:COMPILED))
  82      1   0.0      1   0.0   3189  94.6        -  INTERSECTION
  83      1   0.0      1   0.0   3190  94.6        -  VARJO.INTERNALS::VALID-TYPE-SET-MEMBER-P
  84      1   0.0      1   0.0   3191  94.6        -  "foreign function pthread_sigmask"
